fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,02,ANDHRA PRADESH,0205,WEST GODAVARI,1916002,283.699530851142,26,1124,12.30446,1285,0,29133,2321097,662883,64488,17800,1897,179.5255,6776.77125959992,88113,123870,137161,237081,124,187347,308963,30418,6584.94129959992,1338194,36,87.06,90.53,100,NA
2025-2026,June,02,ANDHRA PRADESH,0209,NELLORE,2808024,242.975919203734,23,1308,52.54892,343,5,58969,3423376,903262,138449,143382,29901,362.50087,8733.02909380002,142704,200360,272112,477894,17,361207,613579,59312,8317.97930380002,2157586,39,43.69,81.15,100,NA
2025-2026,June,02,ANDHRA PRADESH,0211,Y.S.R,3948774,274.224003829919,35,1830,103.96785,213,10,45682,4451268,829952,78369,56320,5382,483.17214,12793.5853207999,126248,196116,187945,352954,451,246888,455062,45895,12206.4453307999,2836513,36,38.89,96.76,100,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,280.236174143826,32,3054,37.38838,427,8,43144,6058900,449965,35006,175266,16902,154.81202,17171.4299552003,184817,256590,238005,392515,35,292669,462847,43571,16979.2295552003,4198218,55,19.73,93.21,100,NA
2025-2026,June,02,ANDHRA PRADESH,0217,ELURU,5432674,279.258656713774,30,2878,39.98161,774,5,47057,6716841,2239125,205200,667191,53974,203.19878,19000.5403402,216734,342961,319293,596048,518,383235,693102,47831,18757.3599502,3924364,40,38.97,93.72,100,NA
2025-2026,June,02,ANDHRA PRADESH,0218,NTR,1791304,292.885800801233,25,1703,19.58412,9,2,31434,3028342,1093820,124318,241994,24147,103.2238,8992.39163770007,119587,191433,178284,330861,78,217149,393169,31443,8869.58371770007,1835371,31,76.47,93.45,100,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,278.038753428943,27,2001,111.1619,279,9,43825,2788032,380745,64934,149314,25092,237.95937,8100.93068800003,102475,172738,213880,407266,36,283714,526601,44104,7751.80941800003,1509606,57,43.35,87.83,100,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,284.307008959688,24,1476,49.63901,1566,16,41620,2677102,1052976,149876,202396,32141,245.91406,7906.74169299999,109265,151027,217301,388350,89,274893,475317,43186,7611.18862299999,1759669,43,29.45,95.08,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,275.819405753551,33,1555,3123.527469582,1577,0,24871,2565821,947847,72380,55661,3335,211.39513,10411.9548344818,75875,97103,126051,201263,181,170132,262415,26448,7077.03223489981,1447805,45,44.6,89.51,100,NA
2025-2026,June,02,ANDHRA PRADESH,0207,GUNTUR,1342631,251.171935594762,26,457,1607.75912982,116,21,24416,1469011,598566,70811,41364,5689,201.47407,5498.97656261998,55106,87232,90833,159283,71,138087,231720,24532,3689.74336279998,846912,33,94.18,96.11,100,NA
2025-2026,June,02,ANDHRA PRADESH,0206,KRISHNA,2688002,282.47782453086,35,1932,919.079834365001,174,0,50053,4763584,1770459,122378,68837,5818,288.64806,14663.7963472651,136023,231838,182328,336733,1800,223543,395997,50227,13456.0684529001,2564804,19,85.87,92.95,100,NA
2025-2026,June,02,ANDHRA PRADESH,0207,GUNTUR,1342631,252.169464009122,26,455,309.528679827,116,23,24156,1433905,583922,70797,40349,5689,190.47042,4115.86965272701,54871,86786,90813,159244,53,138037,231637,24272,3615.87055290001,826710,34,94.06,96.03,100,NA
2025-2026,June,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7123542,287.956745305346,37,3882,312.900973762,252,1,83990,6810956,124734,9921,6288703,420510,369.10378,20294.6119755412,183827,317716,233631,459310,3924,257473,494362,84242,19612.6072217792,3564778,84,68.97,82.37,100,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,280.877132081655,35,3091,698.590557998,427,6,43534,6549123,485136,35008,191212,16916,162.3885,19255.967916898,186331,259637,238189,392885,163,292855,463168,43961,18394.9888589,4531463,55,19.61,93.36,100,NA
2025-2026,June,02,ANDHRA PRADESH,0216,KONASEEMA,2403770,298.015142747417,33,2311,1006.171576958,1660,0,28513,3710610,1823626,117944,32750,2382,221.39739,12285.7486552579,112425,155000,153982,255982,206,236799,366566,30173,11058.1796882999,2391997,33,89.33,93.27,100,NA
2025-2026,June,02,ANDHRA PRADESH,0217,ELURU,5432674,277.380987354676,33,2923,851.236881267,774,4,47495,7315588,2434101,205412,745963,54023,207.35834,21350.6454464672,220798,350662,319697,596839,847,383433,693508,48269,20292.0502252002,4273591,40,38.74,93.62,100,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,276.076479745634,29,2098,1351.390936472,284,5,44247,3093160,420127,65008,170588,25129,320.85011,10211.728287372,106637,180399,214355,408234,119,283944,527124,44531,8539.48724090004,1673913,57,42.19,87.18,100,NA
2025-2026,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,645615,273.357334540448,40,200,68.380547157,69,0,5851,984727,74213,4328,7233,483,77.23362,2837.43764685712,24305,32717,31756,50839,35,37006,57233,5920,2691.82347970012,726785,53,4.4,98.58,100,NA
2025-2026,June,02,ANDHRA PRADESH,0221,NANDYAL,3030717,259.234969729565,29,1586,878.056957186,720,1,50172,4236311,1157970,113342,190030,14064,276.27688,12136.3333756862,146018,240207,214227,414599,164,274875,515751,50892,10981.9995385002,2520716,35,74.13,96.65,100,NA
2025-2026,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5565519,260.84310951278,43,3567,862.520178826,253,0,58950,7259610,843945,45458,2683546,139821,234.37929,20033.0919313267,167750,275212,194898,377934,3095,217244,410659,59203,18936.1924625007,4333811,77,41.47,92.53,100,NA
2025-2026,June,02,ANDHRA PRADESH,0226,KAKINADA,3329831,276.977710346568,25,2659,1474.510240018,1498,3,32538,3339156,946584,92971,64398,8710,188.51204,10911.7401137181,132488,180366,205179,351784,16,296778,486368,34036,9248.71783370006,1743847,45,52.51,85.38,100,NA
2025-2026,June,02,ANDHRA PRADESH,0208,PRAKASAM,5555687,250.492629114542,29,3593,2164.552524386,236,3,53743,7931039,1722026,200247,228520,22296,578.74365,22609.9642815857,271273,465503,377904,729241,92,457613,849410,53979,19866.6681071997,4457642,32,26.99,90.71,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,281.30281728324,32,2733,2645.636313036,366,2,57372,4850201,798562,95432,186292,17894,586.18492,16875.5732899359,148403,249740,257860,487317,304,325665,607052,57738,13643.7520568999,2696621,48,46.87,91.19,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0220,PALNADU,2658390,280.055307276034,25,1899,2731.73253065,447,4,45398,4484860,930217,123061,427421,45122,268.03995,15559.8609345499,179279,300877,272610,491501,328,353028,610142,45845,12560.0884538999,2383767,24,81.65,93.37,100,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,277.53116093319,29,2103,2113.443366466,288,5,44366,3136985,424281,65021,173508,25135,335.55072,11155.104975266,107157,181385,214426,408408,120,284081,527431,44654,8706.11088880003,1697637,57,42.01,87.27,100,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,283.599126808623,26,1517,3600.733199692,1791,12,41615,2974640,1167368,150017,223650,32164,324.42058,12361.206845392,112566,156380,217516,388800,218,275008,475605,43406,8436.05306570003,1954284,44,28.82,95.21,100,NA
2025-2026,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5565519,261.349090438411,44,3574,4117.33827651801,258,0,59253,7445554,869478,45529,2755734,139908,295.21202,23871.4379536187,168290,276436,195011,378147,3459,217274,410730,59511,19458.8876571007,4443972,77,41.53,92.6,100,NA
2025-2026,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,645615,271.679530812772,42,200,432.16965951,69,0,5869,1024559,76405,4327,7484,484,105.65843,3321.34517361003,24367,32858,31771,50868,52,37018,57258,5938,2783.51708410003,756463,53,4.71,98.59,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,277.033350553346,33,1548,2749.633569782,1577,0,24853,2527678,933203,72371,55385,3335,211.39513,9963.53975438181,75723,96869,126015,201213,159,170117,262394,26430,7002.51105459981,1428179,45,44.49,89.42,100,NA
2025-2026,June,02,ANDHRA PRADESH,0205,WEST GODAVARI,1916002,283.085219563135,28,1139,1172.758814839,1306,0,29522,2588276,738178,64593,20359,1903,236.83552,8736.62113233894,89346,125909,137425,237495,317,187467,309150,30828,7327.02679749994,1487900,36,87.6,91.05,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,277.946615967399,33,2742,4680.40723067,371,2,57553,4933602,809939,95466,188659,17899,638.27897,19031.4660049699,148980,250800,257980,487557,377,325714,607182,57924,13712.7798042999,2743917,48,46.69,91.24,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,280.067944389854,36,3106,868.60983728,427,6,43774,6787790,503441,35022,202099,16942,181.8042,20060.8379597801,187118,261176,238298,393062,232,292897,463285,44201,19010.4239225001,4696267,55,19.53,93.39,100,NA
2025-2026,June,02,ANDHRA PRADESH,0220,PALNADU,2658390,278.32083625242,25,1901,3999.926383958,449,4,45740,4526241,938730,123070,430853,45129,278.57802,16875.9762059579,179637,301496,272687,491650,366,353225,610508,46189,12597.4718019999,2406599,24,81.56,93.17,100,NA
2025-2026,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5565519,261.229591560255,44,3576,4388.10278810301,320,0,59347,7477798,872957,45529,2776776,139949,295.36276,24217.6867212039,168345,276584,195024,378197,3586,217296,410795,59667,19534.2211731009,4462852,77,41.64,92.6,100,NA
2025-2026,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,9980844,211.564903639657,35,6242,1318.20855841,709,2,52065,9860696,1084662,73321,239012,17806,367.80067,22547.7812190095,274804,390966,345977,634497,97,389244,695383,52774,20861.7719905995,7012290,43,6.63,92.24,100,NA
2025-2026,June,02,ANDHRA PRADESH,0210,CHITTOOR,2534785,272.50006699686,26,873,5792.710025419,1321,0,55286,2083232,591267,110329,65485,13518,545.17579,12014.694411119,79789,115197,209262,387660,94,276083,495443,56607,5676.80859570003,1304066,62,62.01,83.77,100,NA
2025-2026,June,02,ANDHRA PRADESH,0211,Y.S.R,3948774,274.01968003256,37,1852,4086.88966043,246,4,46135,4834992,901875,78479,60803,5387,619.80934,17955.5286084299,128107,199646,188258,353588,812,247065,455481,46381,13248.8296079999,3087020,36,38.88,96.35,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,281.32584039352,32,2734,4046.907624292,366,2,57407,4855630,799273,95436,186319,17893,594.07339,18301.1229181919,148464,249845,257872,487344,304,325666,607071,57773,13660.1419038999,2699775,48,46.84,91.2,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,283.599126808623,26,1517,5476.97174471599,1821,9,41629,2974640,1167368,150016,223650,32165,328.86784,14241.892650416,112566,156380,217515,388803,218,275019,475627,43450,8436.05306570002,1954284,43,28.82,95.21,100,NA
2025-2026,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5565519,261.349359001644,44,3574,4125.25907119801,258,0,59278,7446072,869550,45525,2755877,139929,295.21202,23880.7325339989,168292,276441,195012,378164,3460,217282,410764,59536,19460.2614428009,4444342,77,41.53,92.59,100,NA
2025-2026,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,9980844,210.427238525957,35,6237,1311.24763841,709,2,51972,9812303,1079494,73320,237435,17802,367.37919,22326.3850671096,274701,390721,345977,634497,95,389268,695414,52681,20647.7582386996,6977103,43,6.62,92.22,100,NA
2025-2026,June,02,ANDHRA PRADESH,0209,NELLORE,2808024,243.367026740215,25,1347,1643.074808899,344,5,59353,3775886,994533,138634,157822,29932,413.04574,11245.382040199,146728,206841,272499,478677,45,361427,614095,59697,9189.26149130004,2380203,38,44.04,81.57,100,NA
2025-2026,June,02,ANDHRA PRADESH,0210,CHITTOOR,2534785,271.88017101781,26,871,1477.389506626,1305,0,55269,2071831,588452,110312,65295,13518,542.87403,7653.16120262601,79606,114914,209247,387633,94,276066,495416,56574,5632.89766600001,1297342,62,61.94,83.78,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,280.435025718392,32,2731,2260.165445768,365,2,57324,4839921,796179,95422,186042,17894,582.8777,16415.8768468679,148265,249498,257845,487280,303,325630,606981,57689,13572.8337010999,2690970,48,46.86,91.22,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,278.035127627639,29,2101,1459.769101783,288,5,44312,3116488,421575,65010,173112,25132,331.4216,10456.1220900831,107021,181102,214391,408329,119,284036,527329,44600,8664.93138830007,1686318,57,42.06,87.2,100,NA
2025-2026,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5565519,260.655650365655,43,3573,1840.184778248,254,0,59218,7385876,860744,45524,2732000,139913,294.60906,21386.4969612488,168052,275929,195001,378129,3350,217252,410696,59472,19251.7031230008,4410081,77,41.57,92.56,100,NA
2025-2026,June,02,ANDHRA PRADESH,0208,PRAKASAM,5555687,250.874474458658,30,3652,6278.074648466,244,3,54356,8553057,1853643,200512,247654,22344,589.71979,28325.2312373655,275951,474370,378480,730272,299,457697,849622,54600,21457.4367988995,4818645,32,27.04,90.78,100,NA
2025-2026,June,02,ANDHRA PRADESH,0217,ELURU,5432674,279.403376131002,35,2974,4304.375061549,792,4,47991,8054255,2664685,205588,850903,54097,272.99614,27081.2315937491,225024,358649,320061,597522,1353,383802,694243,48783,22503.8603922001,4706030,39,38.63,93.78,100,NA
2025-2026,June,02,ANDHRA PRADESH,0221,NANDYAL,3030717,261.660148830211,30,1609,3454.498218229,729,1,50698,4503454,1226988,113422,203028,14083,371.11712,15609.3597771291,147673,243346,214530,415243,254,275146,516345,51427,11783.7444389001,2688211,35,73.8,96.24,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,273.82366357939,44,202,701.521116326,69,0,5891,1099029,82169,4332,7796,484,111.21661,3822.13919792594,24719,33405,31805,50925,109,37032,57290,5960,3009.40147159994,812200,53,4.63,98.29,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,274.908678830506,35,1575,3123.527469582,1609,0,25001,2737567,1010846,72400,59198,3333,219.87229,10869.2090313819,77020,98759,126167,201434,258,170216,262523,26610,7525.80927179992,1542899,45,45.15,89.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,243.039903485323,27,1401,4870.275225962,382,5,60335,4138127,1086467,138761,172017,29972,489.70102,15417.2761128621,151344,214131,272746,479374,117,361755,615014,60717,10057.2998669001,2609477,38,44.32,82.14,100,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,268.181706752729,26,2008,3488.539228109,389,4,55519,4417412,826628,109004,83576,7879,498.84296,15834.0730840089,163938,278012,267127,526047,143,346328,661599,55908,11846.6908958999,2429226,37,73.86,93.63,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,293.911270667856,35,2342,3569.542447996,1660,0,29312,4072024,1996002,118105,35668,2384,244.06163,15781.7415582961,113840,157256,154214,256391,517,236992,366866,30972,11968.1374803001,2620902,33,89.51,93.51,100,NA
2025-2026,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,9980844,211.915411096086,36,6259,5335.629754903,760,1,52255,10159182,1119890,73320,247037,17805,405.10927,27269.6113242026,275445,392573,345998,634522,195,389182,695275,53015,21528.8722992996,7227374,43,6.83,92.42,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,276.081621514609,34,1565,3123.527469582,1591,0,24946,2649492,979416,72388,56820,3337,211.39513,10649.6830750818,76412,97886,126081,201317,229,170179,262477,26537,7314.76047549985,1496217,45,45.08,89.71,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,280.275799817996,34,2776,5306.837227295,378,1,57739,5200008,850596,95533,200194,17917,655.93317,20537.1344098948,150951,254460,258212,488049,545,325892,607575,58117,14574.3640125998,2892571,48,46.71,91.43,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,280.897664712293,37,3134,2962.646685084,427,4,43988,7093657,526969,35037,214508,16952,191.07849,23079.6420307841,187999,262961,238433,393259,348,292946,463383,44415,19925.9168557001,4907464,55,19.69,93.47,100,NA
2025-2026,June,02,ANDHRA PRADESH,0216,KONASEEMA,2403770,297.990899821988,35,2334,3553.991133016,1660,0,29045,3983399,1952259,118084,34989,2384,240.06512,15664.2227766161,113498,156704,154185,256343,416,236930,366790,30705,11870.1665236001,2561683,33,89.45,93.45,100,NA
2025-2026,June,02,ANDHRA PRADESH,0219,BAPATLA,3352963,276.680030464782,28,1874,2837.564740676,1826,1,48120,4364384,1438627,140143,163473,15345,212.57166,15125.5153814761,155274,263380,215422,401256,295,274996,486756,49946,12075.3789808001,2351667,19,78.71,93.77,100,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,276.144882033578,30,2165,5016.344661782,385,4,44730,3426865,462139,65076,191544,25168,342.18404,14821.641013482,111002,188379,214896,409288,239,284237,527748,45115,9463.11231169999,1853895,57,41.74,87.44,100,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,282.940999259762,28,1564,5893.939388592,2126,9,41582,3246253,1272314,150122,241359,32196,330.088,15409.008065292,115570,161289,217660,389103,560,275065,475767,43708,9184.98067669999,2133946,44,28.25,95.44,100,NA
2025-2026,June,02,ANDHRA PRADESH,0201,SRIKAKULAM,10055522,235.033015708854,40,5858,9185.592884052,880,0,63116,12455012,1078536,60001,696924,40152,817.5445,39276.5276945516,310036,434019,380576,672559,1016,444143,757315,63996,29273.3903104996,8929510,47,21.88,95.12,100,NA
2025-2026,June,02,ANDHRA PRADESH,0205,WEST GODAVARI,1916002,283.333392123528,29,1147,1402.721452939,1314,0,29557,2666601,759084,64626,20936,1903,236.98626,9195.07878063892,89791,126598,137493,237613,401,187516,309225,30871,7555.37106769992,1529822,36,87.85,91.27,100,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,281.494872935815,28,1564,5893.939388592,2015,9,41686,3246076,1272300,150116,241333,32181,330.088,15361.564900192,115566,161281,217658,389079,560,275039,475700,43701,9137.5375116,2133850,44,28.25,95.5,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,273.897052768816,45,205,701.521116326,69,0,5900,1126688,84945,4338,7814,484,111.21661,3898.70295222592,24790,33538,31813,50937,131,37031,57288,5969,3085.96522589992,832167,53,4.57,98.33,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,276.226055506871,35,1575,3123.527469582,1620,0,25018,2754866,1017947,72413,59351,3336,219.87229,10953.0574458819,77155,98963,126197,201488,267,170227,262540,26638,7609.65768629991,1552047,45,45.33,89.99,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,249.916306372024,28,463,1617.27825932,116,21,24557,1590217,649786,70878,44918,5694,225.50869,5816.99853902,55845,88545,90962,159512,131,138155,231840,24673,3974.2115897,919165,33,94.55,96.37,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,271.926273725989,27,895,6097.211961614,1462,0,55921,2303961,645277,110444,72392,13535,545.27329,12907.560547014,82969,120418,209564,388229,181,276219,495712,57383,6265.07529540003,1441355,62,62.28,84.32,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,294.595551082553,36,2350,3569.542447996,1660,0,29349,4159522,2033810,118119,36384,2384,244.06163,16067.370836296,114084,157644,154254,256455,624,237013,366908,31009,12253.7667583,2675886,33,89.56,93.59,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,258.847930325662,31,1614,3454.498218229,732,1,50904,4610363,1252712,113463,207754,14086,371.11712,15759.4445442291,148352,244581,214635,415452,331,275201,516466,51636,11933.8292060001,2757868,34,73.7,96.19,100,NA
2025-2026,July,02,ANDHRA PRADESH,0224,TIRUPATI,3786749,277.316442206678,29,1587,5894.734288592,2263,9,41758,3402997,1333501,150174,253352,32234,333.09648,15664.900977392,117121,163821,217762,389314,707,275143,475963,44021,9437.07020879999,2238905,43,27.86,95.48,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,274.203553315284,35,1571,3123.527469582,1597,0,24958,2689660,992429,72396,58176,3333,211.39513,10710.0658916819,76731,98332,126120,201372,234,170190,262491,26555,7375.14329209986,1517217,45,45.04,89.81,100,NA
2025-2026,June,02,ANDHRA PRADESH,0209,NELLORE,2808024,240.750031767568,27,1402,4868.477028562,382,5,59968,4123703,1083731,138755,171437,29979,483.34952,15279.6428310621,151013,213697,272744,479310,111,361653,614761,60350,9927.81628250015,2599981,38,44.32,82.32,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,212.955731778721,37,6296,5499.422827624,926,1,52605,10482636,1157215,73318,257541,17808,407.4879,28230.2849311237,276363,394990,346003,634551,523,389148,695243,53531,22323.3742034997,7450992,44,7.29,91.38,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,295.608614365612,36,2355,3637.033804796,1664,0,29549,4223892,2062211,118138,37047,2386,244.15913,16367.3815482959,114330,158009,154294,256521,739,237087,366999,31213,12486.1886134999,2718335,33,89.34,93.36,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,276.461768638389,28,1979,4474.50108047,458,4,46668,5284913,1091472,123429,488965,45361,288.19054,19373.4555712702,188504,317244,274511,494940,993,353955,611917,47126,14610.7639508002,2815519,23,82.08,93.67,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,212.920110066075,37,6285,5497.731438549,901,1,52484,10429008,1150595,73324,254742,17808,405.35951,28108.5462609487,276154,394406,346024,634580,435,389192,695314,53385,22205.4553123997,7416442,44,7.17,92.22,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,276.093926282911,36,1578,3123.527469582,1621,0,25065,2785026,1029074,72409,59715,3337,219.87229,11032.6873909819,77323,99232,126206,201511,294,170236,262555,26686,7689.28763139991,1569190,45,45.43,90.07,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,250.262481856003,31,3684,6476.033754266,304,3,54609,8876079,1925488,200637,255445,22355,589.77979,29279.3091411655,278686,479136,378760,730779,384,457719,849682,54913,22213.4955968995,5008123,32,27.2,90.87,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.008315331955,41,1891,4338.2746947,261,4,46747,5392273,1005243,78618,67192,5394,635.85034,19641.5559800999,130530,204283,188638,354326,1871,247291,455973,47008,14667.4309453999,3458465,36,39.62,96.45,100,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,287.453702307172,40,3995,5051.904769435,293,1,85658,7719232,144452,9926,7109647,420999,416.82495,27657.9478931149,188908,327483,233970,459897,7244,257783,494889,85951,22189.2181736799,4048663,84,67.87,81.69,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,278.69533744468,36,3001,4306.692351549,792,4,48183,8318608,2758910,205683,878933,54159,273.47514,27763.7401278491,226989,362263,320301,597968,1543,383906,694461,48975,23183.5726363001,4861272,39,38.63,93.81,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.080650066249,46,3589,4436.26445899301,322,0,60475,7848954,910804,45592,2987503,140099,295.47694,25223.8415255938,169223,278806,195170,378458,4715,217398,410988,60797,20492.1001266008,4682124,77,42.55,92.25,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.281155195103,28,2747,8556.98552890199,1935,0,32739,3929267,1110650,93159,73793,8725,252.80041,19862.073547202,137222,187957,205927,353047,100,297038,486882,34674,11052.2876083,2028133,44,52.46,86.52,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,283.516591509581,31,1163,1467.147035824,1322,0,29739,2831758,805881,64664,22265,1907,239.12742,9734.77821722388,90631,127939,137582,237811,608,187678,309544,31061,8028.50376139988,1621711,36,87.64,91.11,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,242.430538792254,28,1464,5037.158607355,386,4,60869,4511442,1181177,138919,186746,30001,490.20624,16464.4779952551,155900,221506,273122,480085,292,361956,615408,61255,10937.1131479001,2847064,38,44.68,82.88,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,297.941986248672,36,2353,3637.033804796,1664,0,29455,4170943,2039531,118121,36513,2386,244.15913,16308.1833542959,114123,157683,154264,256476,636,237076,366986,31119,12426.9904194999,2681849,33,89.48,93.51,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,276.181154090522,29,1910,2841.619129016,1916,1,48543,4611562,1515863,140244,172494,15374,212.78666,15790.6709422159,158658,269678,215743,401819,434,275190,487110,50459,12736.2651531999,2486234,19,79.04,93.97,100,NA
2025-2026,July,02,ANDHRA PRADESH,0223,ANNAMAYYA,3488638,273.45283380292,34,1075,3052.503491027,325,2,45746,3832793,728279,68127,145794,12906,353.94916,13887.333723327,110921,162795,201614,350409,348,255774,433053,46071,10480.8810723,2241203,55,64.07,90.49,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.593234159172,28,2755,8588.72089570999,1971,0,32828,3958726,1118758,93168,74292,8727,252.80041,19989.02588061,137483,188330,205969,353126,108,297129,487024,34799,11147.5045749,2040582,44,52.31,86.11,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,235.969767507105,41,5882,9195.951616412,996,0,64149,13002634,1121555,60010,735536,40173,821.7819,40700.0187360117,311555,437079,380795,672934,1685,444193,757421,65145,30682.2852195997,9343923,48,22.26,95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.253801997989,41,1889,4338.2746947,255,4,46725,5350976,998138,78613,66863,5394,635.6021,19542.1123986999,130417,204056,188617,354285,1773,247267,455921,46980,14568.2356039999,3429449,36,39.57,96.49,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,274.836793124772,28,1907,2841.479829016,1857,1,48449,4552285,1497444,140223,170447,15364,212.78666,15565.620596916,158090,268631,215658,401666,413,275114,486982,50306,12511.3541079,2454520,19,78.92,93.94,100,NA
